"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLUST;12.10.2012;08:50:00;DKRNN;LIVA GRETA;Latvia;8801072;YLCJ;851;64.33;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;17.10.2012;07:35:00;DKRNN;JOSEFINE;Finland;8521696;OJKU;852;64.36;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;27.10.2012;08:20:00;DKRNN;LIVA GRETA;Latvia;8801072;YLCJ;851;64.33;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;29.10.2012;07:20:00;DKRNN;LIVA GRETA;Latvia;8801072;YLCJ;851;64.33;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;31.10.2012;07:30:00;DKRNN;LIVA GRETA;Latvia;8801072;YLCJ;851;64.33;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;05.11.2012;07:00:00;DEFLF;HERAKLES;Poland;6614853;SQFK;183;28.60;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;09.11.2012;10:45:00;DKRNN;CARISMA;Finland;8402589;OJMY;1473;79.10;Complex Shipping Services Sp. z o.o.;NAB. HELSKIE
PLUST;19.11.2012;11:36:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;nab. Helskie
PLUST;27.11.2012;08:20:00;DKRNN;MAKS;Russian Federation;8017011;UBVI7;1084;74.50;Complex Shipping Services Sp. z o.o.;NAB. HELSKIE
PLUST;07.12.2012;08:00:00;DKRNN;JOSEFINE;Finland;8521696;OJKU;852;64.36;Complex Shipping Services Sp. z o.o.;HELSKIE
PLUST;17.12.2012;10:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;24.01.2013;10:40:00;NOESP;EUROTRANS;Panama;7818119;HP6969;1016;68.69;Complex Shipping Services Sp. z o.o.;Helskie
PLUST;12.03.2013;08:00:00;PLNOW;IN¯. STANIS£AW £ÊGOWSKI;Poland;7402441;SPG 2417;1954;77.81;Przedsiebiorstwo Robot Czerpalnych i Pododnych;Brak
PLUST;04.05.2013;08:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;Brak
PLUST;07.05.2013;09:30:00;PLKOL;JANTAR;Poland;8418708;SPS2512;572;34.13;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Ko³obrzeskie
PLUST;02.07.2013;11:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;03.07.2013;14:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;Brak
PLUST;18.07.2013;02:30:00;PLKOL;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Ko³obrzeskie
PLUST;18.07.2013;22:30:00;PLDAR;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Ko³obrzeskie
PLUST;25.07.2013;02:50:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Ko³obrzeskie
PLUST;25.07.2013;22:40:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Ko³obrzeskie
PLUST;23.10.2013;10:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;10.12.2013;10:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;18.01.2014;10:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;24.02.2014;08:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;29.07.2014;06:30:00;DK888;RONJA;Denmark;5111696;OUHL2;127;28.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;30.09.2014;08:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;04.11.2014;08:00:00;PLGDY;MARS;Poland;7734533;SPG2202;178;29.lip;OLD SEAS SP. Z O. O.;Brak
PLUST;26.12.2014;08:00:00;DKHIR;THOR;Denmark;8942826;OZPS2;84;21.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;11.02.2015;08:10:00;PLSZZ;IN¯. STANIS£AW £ÊGOWSKI;Poland;7402441;SPG 2417;1954;77.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;11.02.2015;12:50:00;PLNOW;SM-PRC-105;Poland;8937558;SPG 2916;539;57.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;11.02.2015;12:50:00;PLNOW;SM-PRC 107;Poland;8899108;SPG 2879;539;58.94;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;20.02.2015;08:00:00;DKFDH;ODIN;Denmark;8108121;OUJF2;142;26.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;28.02.2015;20:00:00;PL888;SM-PRC 107;Poland;8899108;SPG 2879;539;58.94;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;24.05.2015;09:00:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;Brak
PLUST;05.06.2015;10:40:00;PLSZZ;KRONOS;Poland;6614891;SQFJ;181;26.76;Morska Agencja Gdynia Sp. z o.o.;Pirs
PLUST;09.06.2015;06:00:00;PLSZZ;KRONOS;Poland;6614891;SQFJ;181;26.76;Morska Agencja Gdynia Sp. z o.o.;Pirs
PLUST;04.08.2015;17:00:00;PLSWI;SERWAL;Poland;7020994;SPS2065;124;25.43;OPEN SEAS LTD SP. Z O.O.;Ko³obrzeskie
PLUST;17.12.2015;14:00:00;PLSZZ;KRONOS;Poland;6614891;SQFJ;181;26.76;Morska Agencja Gdynia Sp. z o.o.;Oksywskie
PLUST;18.01.2016;16:00:00;DKROD;CAMILLA HOJ;Denmark;7236311;OWIJ;410;40.00;Morska Agencja Gdynia Ltd. Harbour Office Gdansk;Brak
PLUST;26.04.2016;21:00:00;PLGDY;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;Brak
PLUST;29.04.2016;07:00:00;DKNEX;VITUS;Denmark;7616793;OYDC2;138;25.70;Baltic Shipping Agency Ltd.;Oksywskie
PLUST;09.05.2016;08:00:00;PLGDY;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;Ko³obrzeskie
PLUST;25.05.2016;16:30:00;PLGDY;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;31.05.2016;22:00:00;DKSVE;RONJA;Denmark;5111696;OUHL2;127;28.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;29.05.2016;18:30:00;PLXXX;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;04.06.2016;12:00:00;PLXXX;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;17.06.2016;08:30:00;PLGDY;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;23.06.2016;11:00:00;PLXXX;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;29.06.2016;03:00:00;PLXXX;MINTIS;Lithuania;9713636;LYAP;499;39.25;NAWISHIP;W³adys³awowskie
PLUST;20.04.2017;08:00:00;DKHAN;ODIN;Denmark;8703995;OXIM2;202;27.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;12.05.2017;20:00:00;PLNOW;SM PRC 110;Poland;8937584;SPG 2919;578;58.95;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;23.05.2017;12:30:00;PLUST;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;27.05.2017;08:00:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;11.06.2017;09:00:00;DKHIR;THOR;Denmark;8942826;OZPS2;84;21.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;11.09.2017;16:10:00;RULED;CYKLOP;Poland;6605448;SQLI;186;28.50;SHIP-TRANS-TOURIST CONSULTING Sp.j. A. Ma³dyk;Oksywskie
PLUST;22.10.2017;11:30:00;PLNOW;OCEANIA;Poland;8304854;SQOC;370;48.93;POLSTEAM SHIPPING AGENCY Gdynia;Brak
PLUST;07.02.2018;09:45:00;PLSZZ;NAWIGATOR XXI;Poland;9161247;SNHA;1245;60.30;Akademia Morska w Szczecinie;Brak
PLUST;29.04.2018;19:00:00;PL888;GLOMAR VANTAGE;Panama;8109266;HO3057;991;56.25;Baltic Shipping Agency Ltd.;W³adys³awowskie
PLUST;06.05.2018;15:15:00;PLGDN;OCEANIA;Poland;8304854;SQOC;370;48.93;POLSTEAM SHIPPING AGENCY Gdynia;W³adys³awowskie
PLUST;18.05.2018;08:00:00;DKHIR;THOR;Denmark;8942826;OZPS2;84;21.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;21.05.2018;05:00:00;PLSZZ;IN¯. STANIS£AW £ÊGOWSKI;Poland;7402441;SPG 2417;1954;77.81;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;14.06.2018;09:20:00;PL888;SM-PRC-108;Poland;8937572;SPG 2918;539;58.92;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;01.08.2018;07:00:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.00;Baltic Shipping Agency Ltd.;Pirs
PLUST;21.02.2019;06:30:00;SEELL;HELGA;Antigua and Barbuda;8402577;V2XS;1472;79.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;22.02.2019;06:30:00;SEELL;LORE PRAHM;Germany;8915902;DCBT;1156;58.70;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;04.04.2019;12:30:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;09.04.2019;06:00:00;SEELL;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;16.04.2019;08:00:00;SEFLI;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;17.04.2019;13:20:00;SEELL;HELGA;Antigua and Barbuda;8402577;V2XS;1472;79.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;18.04.2019;07:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;25.04.2019;06:00:00;SEFLI;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;25.04.2019;15:00:00;PLDAR;JENNY T;Belize;7606009;V3YU8;197;28.52;Marine Sailor S.C.;W³adys³awowskie
PLUST;27.04.2019;08:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;30.04.2019;06:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;13.05.2019;07:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;17.05.2019;06:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;19.05.2019;06:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;25.05.2019;04:20:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;28.05.2019;14:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;30.05.2019;11:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;02.06.2019;07:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;08.06.2019;06:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;11.06.2019;07:00:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;12.06.2019;06:00:00;SEFLI;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;13.06.2019;10:15:00;SEELL;RAMONA;Finland;8420713;OJNN;1279;74.80;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;25.06.2019;06:00:00;SEELL;RIONA;Finland;8806072;OJNA;910;69.10;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;28.06.2019;06:00:00;SEKAN;RIONA;Finland;8806072;OJNA;910;69.10;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;30.06.2019;08:30:00;SEKAN;RIONA;Finland;8806072;OJNA;910;69.10;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;12.07.2019;21:10:00;PLDAR;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;12.07.2019;19:10:00;PLDAR;SM-PRC-112;Poland;8937596;SPG 2920;538;58.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;W³adys³awowskie
PLUST;02.08.2019;16:00:00;PLPLC;STEFAN;Poland;6506020;SPG2285;132;28.74;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;W³adys³awowskie
PLUST;09.08.2019;08:00:00;DKHAN;BESTLA;Denmark;8027779;OVRH2;235;30.21;Baltic Shipping Agency Ltd.;Pirs
PLUST;20.08.2019;06:00:00;SEKAN;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;22.08.2019;07:00:00;SEKAN;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;03.09.2019;14:00:00;SEKAN;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;06.09.2019;18:00:00;SEKAN;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;16.10.2019;07:30:00;PLNOW;SM-PRC-105;Poland;8937558;SPG 2916;539;57.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;25.10.2019;09:30:00;SEELL;RONJA;Finland;9030462;OJSG;1512;74.94;DAN SHIPPING & TRADING Co. Ltd. ;W³adys³awowskie
PLUST;16.10.2019;02:30:00;PLSZZ;STEFAN;Poland;6506020;SPG2285;132;28.74;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;S³upskie
PLUST;05.02.2020;23:00:00;PLNOW;SM PRC 103;Poland;8899093;SPG 2821;576;58.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;04.02.2020;19:30:00;NLEEM;PANDA;Netherlands;9807798;PCOA;299;27.70;Westcoasting Towage Services Sp.z o.o.;W³adys³awowskie
PLUST;23.05.2020;16:00:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;23.05.2020;16:00:00;PLNOW;SM-PRC-106;Poland;8937560;SPG 2917;538;58.92;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;15.06.2020;10:40:00;PLNOW;HEKTOR;Poland;8222355;SQMH;113;23.44;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;17.06.2020;07:15:00;PLUST;HEKTOR;Poland;8222355;SQMH;113;23.44;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;19.06.2020;22:25:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;21.06.2020;09:30:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLUST;28.06.2020;08:50:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
