"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLKOL;2015-08-21;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-20;21:30:00;SEHAD;STERNO;Sweden;7035420;SLCU;1300;75.70;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-08-22;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-22;10:00:00;DERSK; HAGLAND BONA;Malta;9132038;9HYG8;2456;87.99;NORDTECHNIK;S³upskie
PLKOL;2015-08-23;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-24;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-26;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-28;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-28;14:35:00;DKVEJ;MISTRAL;Antigua and Barbuda;6617855;V2HO;1064;68.35;Wilhelmsen Ships Service Polska Sp. z o.o. ;Wêglowe
PLKOL;2015-08-31;06:30:00;DKASH;SNOWLARK;Saint Vincent and the Grenadines;8412417;J8B3277;1289;74.90;DAN SHIPPING & TRADING Co. Ltd. ;Wêglowe
PLKOL;2015-08-29;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-08-30;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-04;06:30:00;SEAHU;AMANDA;Denmark;8104565;OURV2;1441;80.96;Albers-Hansen Sp. z o.o.;Wêglowe
PLKOL;2015-09-03;20:50:00;PLSZZ;NAWIGATOR XXI;Poland;9161247;SNHA;1245;60.30;Akademia Morska w Szczecinie;Szkolne
PLKOL;2015-09-06;10:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-06;16:00:00;DERSK;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2015-09-09;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-10;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-10;16:15:00;LVLPX;IDA;Cyprus;8613358;C4CZ2;1616;82.45;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-09-12;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-12;09:20:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2015-09-16;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-16;06:00:00;PL888;IN¯. STANIS£AW £ÊGOWSKI;Poland;7402441;SPG 2417;1954;77.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Wêglowe
PLKOL;2015-09-18;06:30:00;DKASH;TRAVEBERG;Antigua and Barbuda;8104541;V2DQ8;1939;87.95;DAN SHIPPING & TRADING Co. Ltd. ;Wêglowe
PLKOL;2015-09-17;19:00:00;DKKOG;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;Wêglowe
PLKOL;2015-09-19;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-23;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-24;14:00:00;SEHAD;HELGA;Antigua and Barbuda;8402577;V2XS;1473;79.80;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-09-26;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-10-01;08:00:00;DEWIS;HAGLAND BOSS;Malta;9171058;9HLE5;2446;87.99;NORDTECHNIK;S³upskie
PLKOL;2015-10-03;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-09-16;06:00:00;PL888;IN¯. STANIS£AW £ÊGOWSKI;Poland;7402441;SPG 2417;1954;77.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Wêglowe
PLKOL;2015-10-03;21:30:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2015-10-05;06:35:00;DKNVD;BONITA;Latvia;8609931;YLBA;920;64.35;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-10-05;16:00:00;PLNOW;OCEANIA;Poland;8304854;SQOC;370;48.93;POLSTEAM SHIPPING AGENCY Gdynia;Wêglowe
PLKOL;2015-10-10;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2015-10-12;22:00:00;DKRNN;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2015-10-15;07:25:00;PLPLC;NINA I;Saint Vincent and the Grenadines;8402668;J8B3047;998;77.96;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-10-21;06:45:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2015-10-26;06:40:00;PLGDY;ARUNDO;Saint Vincent and the Grenadines;8504272;J8B3530;1957;87.95;Vetro Shipping Services;Wêglowe
PLKOL;2015-10-23;23:50:00;PLGDY;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2015-10-27;05:50:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2015-11-02;06:45:00;SEMMA;HELT;Panama;8402589;3FSB;1473;79.10;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-11-02;12:00:00;DEWIS;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2015-11-16;07:10:00;DKKOL;HELGA;Antigua and Barbuda;8402577;V2XS;1473;79.80;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-11-24;03:00:00;DERSK;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2015-11-27;07:00:00;DKKOG; HAGLAND BONA;Malta;9132038;9HYG8;2456;87.99;NORDTECHNIK;S³upskie
PLKOL;2015-11-27;23:50:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2015-12-02;06:30:00;DKKOG;SCANLARK;Saint Vincent and the Grenadines;8505915;J8B3399;1371;75.17;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-12-07;15:40:00;SESOL;HELT;Panama;8402589;3FSB;1479;79.10;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-12-14;12:30:00;PLNOW;SM-PRC-103;Poland;8899093;SPG 2821;539;58.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLKOL;2015-12-15;09:20:00;PLSWI;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLKOL;2015-12-16;08:50:00;DEWIS;SNOWLARK;Saint Vincent and the Grenadines;8412417;J8B3277;1289;74.90;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2015-12-28;07:30:00;PLNOW;HENRYK;Poland;7504926;SQFY;190;29.96;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Brak
PLKOL;2015-12-27;23:00:00;DKKOG;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2015-12-28;10:30:00;NOKNV;TINTO;Cook Islands;7369168;E5U2301;1739;82.47;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2016-01-08;22:00:00;SEVAG;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2016-01-11;17:30:00;DEGRD;FALKBRIS;Malta;9006291;9HA2257;2449;87.91;NORDTECHNIK;S³upskie
PLKOL;2016-01-19;07:00:00;PLSZZ;NINA-1;Saint Vincent and the Grenadines;8402668;J8B3047;998;77.96;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2016-01-19;23:30:00;DKKOG;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2016-01-23;08:30:00;SEKLR;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2016-01-29;16:20:00;DKKOL;RUBYN;Saint Vincent and the Grenadines;8511885;J8B2973;1512;79.63;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2016-02-05;15:20:00;NOEKF;FALKNES;Togo;7053264;5VAR7;1276;72.90;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2016-02-11;20:40:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2016-02-13;21:30:00;PLSZZ;SM-PRC-112;Poland;8937596;SPG 2920;538;58.00;Przedsiebiorstwo Robot Czerpalnych i Podwodnych;Wêglowe
PLKOL;2016-02-15;03:00:00;DEWIS;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2016-02-15;06:30:00;DKBDX;SNOWLARK;Saint Vincent and the Grenadines;8412417;J8B3277;1289;74.90;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2016-02-27;13:20:00;SEVAG;EIDSVAAG SIRIUS;Norway;9279044;LMAA3;2409;82.00;NORDTECHNIK;S³upskie
PLKOL;2016-03-01;12:50:00;SEGVX;WILSON CAEN;Barbados;9173290;8PRM;2999;99.91;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2016-03-02;06:00:00;DKKOG;MINERVA;Bahamas;9014690;C6VB2;2446;87.90;NORDTECHNIK;S³upskie
PLKOL;2016-03-07;07:30:00;DEWIS;EIDSVAAG SIRIUS;Norway;9279044;LMAA3;2409;82.00;NORDTECHNIK;S³upskie
PLKOL;2016-03-08;23:30:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2016-03-10;06:30:00;SEAHU;HELGA;Antigua and Barbuda;8402577;V2XS;1473;79.80;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2016-03-14;09:35:00;DKSTR;NAUTICA;Saint Vincent and the Grenadines;9032458;J8B3260;1587;87.95;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2016-03-19;20:00:00;DKKOG;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2016-03-20;21:25:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2016-03-24;18:00:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2016-03-31;06:40:00;DKAAL;HELT;Panama;8402589;3FSB;1473;79.10;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2016-04-03;22:00:00;DEWIS;LILL;Norway;8209743;LAVF7;1843;80.72;NORDTECHNIK;S³upskie
PLKOL;2016-04-09;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
